,order_id,season,girl,su_id,order_type,bill_zip,adventurefuls,dosidos,lemonups,samoas,savannahs,smores,tagalongs,thinmints,toffeetastic,trefoils,donation,grand_total,Median_income_dollars
1228,202114218,2021,532360,642,Cookies In Hand,28277,0,0,0,2,0,0,0,3,0,0,0,5,"105,672"
1229,202258534,2022,19258,622,In-Person Delivery,28027,0,1,0,1,0,0,0,0,0,0,0,2,"77,367"
1230,201905301,2019,47424,682,Cookies In Hand,27705,0,1,0,0,1,0,0,0,0,0,0,2,
1231,202126456,2021,10276,643,Shipped with Donation,90048,0,2,0,0,0,0,0,2,0,0,2,6,
1232,202204857,2022,270360,631,Cookies In Hand,28078,0,0,1,1,0,0,0,1,0,0,0,3,"101,752"
1233,202001992,2020,14122,632,In-Person Delivery with Donation,34212,0,0,3,0,0,0,0,0,1,0,5,9,
1234,202129974,2021,29313,621,In-Person Delivery,28027,0,0,0,1,0,0,1,2,0,0,0,4,"77,367"
1235,202149594,2021,35599,632,In-Person Delivery,28209,0,2,0,2,0,0,0,1,0,0,0,5,"82,942"
1236,202222824,2022,491360,631,Cookies In Hand,28387,0,0,0,1,0,0,0,1,0,0,0,2,
1237,202234576,2022,63838,632,Shipped,30268,1,0,0,0,0,0,1,1,0,1,0,4,
1238,202023879,2020,7084,649,Shipped with Donation,28210,0,0,0,0,0,0,0,3,0,2,1,6,"75,703"
1239,201920751,2019,74580,638,In-Person Delivery,28212,0,1,0,0,0,0,0,2,0,0,0,3,
1240,202164127,2021,8760,621,In-Person Delivery,28027,0,0,0,0,0,2,0,2,0,0,0,4,"77,367"
1241,202110126,2021,644360,638,Cookies In Hand,23518,0,0,0,0,0,0,1,0,0,1,0,2,
1242,202208491,2022,183360,681,Cookies In Hand,28170,0,0,0,1,0,0,1,0,0,0,0,2,"32,658"
1243,202246008,2022,16444,634,In-Person Delivery,27045,1,0,0,0,0,1,0,0,0,1,0,3,
1244,201913339,2019,51900,681,Shipped with Donation,32907,0,0,0,1,0,0,0,1,0,2,3,7,
1245,202010739,2020,15276,649,Shipped,28031,0,0,2,2,0,0,0,0,0,0,0,4,"89,658"
1246,202109738,2021,250360,692,Cookies In Hand,28207,0,1,0,2,0,0,0,2,0,0,0,5,"177,898"
1247,201904563,2019,54623,681,Cookies In Hand,28205,0,0,0,1,0,0,0,0,2,0,0,3,
1248,201919015,2019,34481,631,In-Person Delivery,28036,0,2,0,0,0,0,0,2,0,0,0,4,
1249,202014101,2020,10260,649,In-Person Delivery,55120,0,0,2,2,0,2,2,0,0,0,0,8,
1250,202120169,2021,13388,643,In-Person Delivery with Donation,28277,0,5,0,0,0,0,0,5,0,0,5,15,"105,672"
1251,202140238,2021,97813,631,In-Person Delivery,28078,0,0,0,3,0,0,0,0,0,1,0,4,"101,752"
